Dataset,Scheduler,Lbeta,Ubeta,Steps,LR,Batch Size,Guidance Scale,NLL Score,Accuracy
manycircles,linear,0.001,0.02,100,0.01,100,0.5,0.8,-0.33288490772247314,0.0002500000118743628
manycircles,linear,0.001,0.02,100,0.01,100,0.2,0.2,-0.3284473121166229,0.0002500000118743628
manycircles,linear,0.001,0.02,100,0.01,100,3,0.5,-0.28805115818977356,0.0002500000118743628
manycircles,linear,0.001,0.02,100,0.01,100,0,0.3,-0.31789517402648926,0.0002500000118743628
manycircles,linear,0.001,0.02,100,0.01,100,0.8,1.0,-0.33151718974113464,0.0002500000118743628
