Dataset,Scheduler,Lbeta,Ubeta,Steps,LR,Batch Size,NLL Score
helix,linear,0.001,0.02,10,0.01,100,N/A
helix,linear,0.001,0.02,50,0.01,100,N/A
helix,linear,0.001,0.02,100,0.01,100,N/A
helix,linear,0.001,0.02,150,0.01,100,N/A
helix,linear,0.001,0.02,200,0.01,100,N/A
helix,sigmoid,0.001,0.02,10,0.01,100,N/A
helix,sigmoid,0.001,0.02,50,0.01,100,N/A
helix,sigmoid,0.001,0.02,100,0.01,100,N/A
helix,sigmoid,0.001,0.02,150,0.01,100,N/A
helix,sigmoid,0.001,0.02,200,0.01,100,N/A
helix,cosine,0.001,0.02,10,0.01,100,N/A
helix,cosine,0.001,0.02,50,0.01,100,N/A
helix,cosine,0.001,0.02,100,0.01,100,N/A
helix,cosine,0.001,0.02,150,0.01,100,N/A
helix,cosine,0.001,0.02,200,0.01,100,N/A
helix,linear,0.001,0.02,10,0.01,100,1.5543076992034912
helix,linear,0.001,0.02,50,0.01,100,1.5262000560760498
helix,linear,0.001,0.02,100,0.01,100,1.5025678873062134
helix,linear,0.001,0.02,150,0.01,100,1.5157883167266846
helix,linear,0.001,0.02,200,0.01,100,1.5105547904968262
helix,sigmoid,0.001,0.02,10,0.01,100,1.5352860689163208
helix,sigmoid,0.001,0.02,50,0.01,100,1.523941159248352
helix,sigmoid,0.001,0.02,100,0.01,100,1.4991835355758667
helix,sigmoid,0.001,0.02,150,0.01,100,1.524855375289917
helix,sigmoid,0.001,0.02,200,0.01,100,1.50499427318573
helix,cosine,0.001,0.02,10,0.01,100,1.5562076568603516
helix,cosine,0.001,0.02,50,0.01,100,1.5234860181808472
helix,cosine,0.001,0.02,100,0.01,100,1.5091698169708252
helix,cosine,0.001,0.02,150,0.01,100,1.5167495012283325
helix,cosine,0.001,0.02,200,0.01,100,1.5019358396530151
