Dataset,Scheduler,Lbeta,Ubeta,Steps,LR,Batch Size,Guidance Scale,NLL Score,Accuracy
blobs,linear,0.001,0.02,100,0.01,100,0.5,0.8,-0.13866381347179413,0.04462499916553497
blobs,linear,0.001,0.02,100,0.01,100,0.8,1.0,-0.14959527552127838,0.04462499916553497
blobs,linear,0.001,0.02,100,0.01,100,3,0.5,-0.15063825249671936,0.04462499916553497
blobs,linear,0.001,0.02,100,0.01,100,0.2,0.2,-0.11918046325445175,0.04462499916553497
blobs,linear,0.001,0.02,100,0.01,100,0,0.3,-0.0947922021150589,0.04462499916553497
