Dataset,Scheduler,Lbeta,Ubeta,Steps,LR,Batch Size,NLL Score
circles,sigmoid,0.005,0.1,200,0.01,100,N/A
circles,sigmoid,0.001,0.02,10,0.01,100,N/A
circles,cosine,0.005,0.1,50,0.01,100,N/A
circles,cosine,0.001,0.02,10,0.01,100,N/A
circles,cosine,0.005,0.1,200,0.01,100,N/A
circles,cosine,0.01,0.2,100,0.01,100,N/A
circles,sigmoid,0.001,0.02,150,0.01,100,N/A
circles,sigmoid,0.01,0.2,100,0.01,100,N/A
circles,sigmoid,0.005,0.1,50,0.01,100,N/A
circles,cosine,0.001,0.02,150,0.01,100,N/A
circles,cosine,0.005,0.1,50,0.01,200,N/A
circles,sigmoid,0.001,0.02,10,0.01,200,N/A
circles,sigmoid,0.005,0.1,200,0.01,200,N/A
circles,cosine,0.001,0.02,150,0.01,200,N/A
circles,sigmoid,0.005,0.1,50,0.01,200,N/A
circles,sigmoid,0.001,0.02,150,0.01,200,N/A
circles,cosine,0.01,0.2,100,0.01,200,N/A
circles,cosine,0.001,0.02,10,0.01,200,N/A
circles,sigmoid,0.01,0.2,100,0.01,200,N/A
circles,cosine,0.005,0.1,200,0.01,200,N/A
circles,cosine,0.005,0.1,100,0.1,100,N/A
circles,sigmoid,0.001,0.02,50,0.1,100,N/A
circles,sigmoid,0.005,0.1,100,0.1,100,N/A
circles,sigmoid,0.01,0.2,10,0.1,100,N/A
circles,sigmoid,0.01,0.2,150,0.1,100,N/A
circles,sigmoid,0.001,0.02,200,0.1,100,N/A
circles,cosine,0.001,0.02,50,0.1,100,N/A
circles,cosine,0.01,0.2,150,0.1,100,N/A
circles,cosine,0.001,0.02,200,0.1,100,N/A
circles,cosine,0.01,0.2,10,0.1,100,N/A
circles,cosine,0.005,0.1,100,0.1,200,N/A
circles,sigmoid,0.01,0.2,10,0.1,200,N/A
circles,sigmoid,0.001,0.02,200,0.1,200,N/A
circles,sigmoid,0.001,0.02,50,0.1,200,N/A
circles,sigmoid,0.01,0.2,150,0.1,200,N/A
circles,cosine,0.001,0.02,50,0.1,200,N/A
circles,cosine,0.001,0.02,200,0.1,200,N/A
circles,sigmoid,0.005,0.1,100,0.1,200,N/A
circles,cosine,0.01,0.2,10,0.1,200,N/A
circles,cosine,0.01,0.2,150,0.1,200,N/A
circles,cosine,0.005,0.1,100,0.01,100,N/A
circles,sigmoid,0.001,0.02,50,0.01,100,N/A
circles,sigmoid,0.01,0.2,10,0.01,100,N/A
circles,sigmoid,0.001,0.02,200,0.01,100,N/A
circles,cosine,0.001,0.02,50,0.01,100,N/A
circles,cosine,0.001,0.02,200,0.01,100,N/A
circles,sigmoid,0.01,0.2,150,0.01,100,N/A
circles,sigmoid,0.005,0.1,100,0.01,100,N/A
circles,cosine,0.01,0.2,10,0.01,100,N/A
circles,cosine,0.01,0.2,150,0.01,100,N/A
circles,sigmoid,0.01,0.2,10,0.01,200,N/A
circles,cosine,0.005,0.1,100,0.01,200,N/A
circles,sigmoid,0.001,0.02,50,0.01,200,N/A
circles,sigmoid,0.001,0.02,200,0.01,200,N/A
circles,cosine,0.001,0.02,50,0.01,200,N/A
circles,sigmoid,0.005,0.1,100,0.01,200,N/A
circles,sigmoid,0.01,0.2,150,0.01,200,N/A
circles,cosine,0.001,0.02,200,0.01,200,N/A
circles,cosine,0.01,0.2,10,0.01,200,N/A
circles,cosine,0.01,0.2,150,0.01,200,N/A
circles,sigmoid,0.01,0.2,50,0.1,100,N/A
circles,cosine,0.005,0.1,150,0.1,100,N/A
circles,cosine,0.001,0.02,100,0.1,100,N/A
circles,sigmoid,0.001,0.02,100,0.1,100,N/A
circles,sigmoid,0.005,0.1,10,0.1,100,N/A
circles,sigmoid,0.005,0.1,150,0.1,100,N/A
circles,cosine,0.01,0.2,200,0.1,100,N/A
circles,cosine,0.01,0.2,50,0.1,100,N/A
circles,cosine,0.005,0.1,10,0.1,100,N/A
circles,sigmoid,0.01,0.2,200,0.1,100,N/A
circles,sigmoid,0.01,0.2,50,0.1,200,N/A
circles,cosine,0.005,0.1,150,0.1,200,N/A
