Dataset,Scheduler,Lbeta,Ubeta,Steps,LR,Batch Size,Guidance Scale,NLL Score,Accuracy
moons,linear,0.001,0.02,100,0.01,100,0.8,1.0,0.42805635929107666,0.10050000250339508
moons,linear,0.001,0.02,100,0.01,100,3,0.5,0.3911035358905792,0.10050000250339508
moons,linear,0.001,0.02,100,0.01,100,0.2,0.2,0.47098666429519653,0.10050000250339508
moons,linear,0.001,0.02,100,0.01,100,0.5,0.8,0.4454783797264099,0.10050000250339508
moons,linear,0.001,0.02,100,0.01,100,0,0.3,0.49733832478523254,0.10050000250339508
